# Lines starting '# literal-ok:' annotate the next row for spira/literal-lint.sh; drop them with grep -v '^# literal-ok'.
# REDACTED for spira/inventory.sh: in four test-inventory.sh labels, the path tokens that suite
# plants as offenders are written <home-user-path> and <workspaces-path>. No count changed.
suite	label	parallel:fail	parallel:no-assertions	parallel:ok	serial:fail	serial:no-assertions	serial:ok
test-activate.sh	aeon-guard: current was not created	0	0	33	0	0	0
test-activate.sh	aeon-guard: names 'aeon'	0	0	33	0	0	0
test-activate.sh	aeon-guard: names the override	0	0	33	0	0	0
test-activate.sh	aeon-guard: non-zero exit with live aeons	0	0	33	0	0	0
test-activate.sh	basic: current -> new	0	0	33	0	0	0
test-activate.sh	basic: exits 0	0	0	33	0	0	0
test-activate.sh	basic: new release dir present	0	0	33	0	0	0
test-activate.sh	basic: old release still present	0	0	33	0	0	0
test-activate.sh	basic: release dir is read-only	0	0	33	0	0	0
test-activate.sh	dry-run: current was not created	0	0	33	0	0	0
test-activate.sh	dry-run: exits 0	0	0	33	0	0	0
test-activate.sh	dry-run: release dir was not created	0	0	33	0	0	0
test-activate.sh	dry-run: says DRY RUN	0	0	33	0	0	0
test-activate.sh	force: current -> new	0	0	33	0	0	0
test-activate.sh	force: exits 0 with SPIRA_ACTIVATE_FORCE=1	0	0	33	0	0	0
test-activate.sh	prune: activation exits 0	0	0	33	0	0	0
test-activate.sh	prune: current -> new	0	0	33	0	0	0
test-activate.sh	prune: current target still present	0	0	33	0	0	0
test-activate.sh	prune: oldest releases removed	0	0	33	0	0	0
test-activate.sh	restart: daemon-reload called	0	0	33	0	0	0
test-activate.sh	restart: no aeon unit in restart	0	0	33	0	0	0
test-activate.sh	restart: restart called	0	0	33	0	0	0
test-aeon-decision-blocked.sh	SEEN RED	1	0	0	0	0	0
test-aeon-decision-blocked.sh	SEEN RED: bead is still open (never closed)	0	0	4	0	0	0
test-aeon-decision-blocked.sh	SEEN RED: note says Unlanded (attempt charged)	0	0	3	0	0	0
test-aeon-decision-blocked.sh	bead is still open (correctly not closed)	0	0	4	0	0	0
test-aeon-decision-blocked.sh	ledger says decision-blocked	1	0	3	0	0	0
test-aeon-decision-blocked.sh	note does not say Unlanded	0	0	4	0	0	0
test-aeon-decision-blocked.sh	note says no attempt charged	1	0	3	0	0	0
test-aeon-decision-blocked.sh	note says released due to decision blocker	1	0	3	0	0	0
test-aeon-dirty-commit.sh	-	0	22	0	0	0	0
test-aeon-exit.sh	-	0	1	0	0	0	0
test-aeon-exit.sh	aeon exits 0	0	0	34	0	0	0
test-aeon-exit.sh	aeon exits 0 despite claude rc=1	0	0	34	0	0	0
test-aeon-exit.sh	aeon exits non-zero	0	0	34	0	0	0
test-aeon-exit.sh	and records the closed status	0	0	34	0	0	0
test-aeon-exit.sh	bead is closed	0	0	68	0	0	0
test-aeon-exit.sh	bead is open (never closed)	0	0	34	0	0	0
test-aeon-exit.sh	ledger still records the real rc	0	0	34	0	0	0
test-aeon-exit.sh	refused sweep exits non-zero	0	0	34	0	0	0
test-aeon-exit.sh	sweep with claude rc=1 exits 0	0	0	34	0	0	0
test-aeon-fence.sh	A1: batch.sh → decision:block	0	0	5	0	0	0
test-aeon-fence.sh	A1: reason mentions sp-kz8ob	0	0	5	0	0	0
test-aeon-fence.sh	A2: git push → decision:block	0	0	5	0	0	0
test-aeon-fence.sh	A3: gh pr create → decision:block	0	0	5	0	0	0
test-aeon-fence.sh	A4: queue.sh flush → decision:block	0	0	5	0	0	0
test-aeon-fence.sh	A5: queue.sh stats NOT blocked	0	0	5	0	0	0
test-aeon-fence.sh	A5b: testenv-batch.sh NOT blocked	0	0	1	0	0	0
test-aeon-fence.sh	A6: write to SPIRA_RUN/landstate → decision:block	0	0	5	0	0	0
test-aeon-fence.sh	A7: write to SPIRA_PROD → decision:block	0	0	5	0	0	0
test-aeon-fence.sh	B1: batch.sh not blocked without SPIRA_AEON	0	0	5	0	0	0
test-aeon-fence.sh	B2: git push not blocked without SPIRA_AEON	0	0	5	0	0	0
test-aeon-fence.sh	B3: SPIRA_AEON_OVERRIDE=1 bypasses fence	0	0	5	0	0	0
test-aeon-fence.sh	C0 POSITIVE: guard silent without SPIRA_AEON	0	0	5	0	0	0
test-aeon-fence.sh	C1: quarantine exits non-zero in aeon session	0	0	5	0	0	0
test-aeon-fence.sh	C1: refusal mentions 'aeons may not'	0	0	5	0	0	0
test-aeon-fence.sh	C1: refusal mentions operator or Ops session	0	0	5	0	0	0
test-aeon-fence.sh	D0 POSITIVE: archivist.md has 'What you must not do'	0	0	5	0	0	0
test-aeon-fence.sh	D1: prohibition names 'operating production'	0	0	5	0	0	0
test-aeon-fence.sh	D2: prohibition names 'Land PR'	0	0	5	0	0	0
test-aeon-fence.sh	D3: prohibition names 'flush the queue'	0	0	5	0	0	0
